ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
,,216.13510,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H2IO4,-,216.90033,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H6IO3,-,216.93672,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H10IO2,-,216.97310,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C11H21O4,-,217.14453,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
CHINO4,-,217.89558,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H5INO3,-,217.93196,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H8NO7,-,218.03063,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C8H12NO6,-,218.06701,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,218.10900,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C11H22O4,-,218.15236,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C15H22O,-,218.16761,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
IN2O4,-,218.89083,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H8IOS,-,218.93461,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H8IO3,-,218.95237,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H3N2O8,-,218.98949,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C9H17NO5,-,219.11122,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C15H23O,-,219.17544,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H10NO7,-,220.04628,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C8H14NO6,-,220.08266,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C9H18NO5,-,220.11905,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C14H20O2,-,220.14688,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H3ClIO2,-,220.88718,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H6IO,-,220.94689,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,221.04620,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,221.08750,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C13H17O3,-,221.11832,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
HINO5,-,221.89049,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H5INO,-,221.94214,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H6O7S,-,221.98397,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H8NO8,-,222.02554,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H12NO7,-,222.06193,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C8H16NO6,-,222.09831,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C9H20NO5,-,222.13470,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
IO4S,-,222.85675,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
CH4IO3S,-,222.89314,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H2F2IO2,-,222.90731,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H4IN2O,-,222.93738,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H8IO,-,222.96254,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,223.07260,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C12H15O4,-,223.09758,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C16H17N,-,223.13665,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
ClINO3,-,223.86169,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
H3INO3S,-,223.88839,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H3INO2,-,223.92140,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,224.01560,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H10NO8,-,224.04119,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C13H20O3,-,224.14179,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
H2IO4S,-,224.87240,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H2IO3,-,224.90542,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H6IO2,-,224.94180,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H6IN2O,-,224.95303,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H10IO,-,224.97819,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H10IN2,-,224.98942,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H14I,-,225.01457,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C10H9O6,-,225.04046,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H5INO2,-,225.93705,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H6O8S,-,225.97889,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,226.04100,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H4IO3,-,226.92107,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H5NO8S,-,226.97414,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H3N2O10,-,226.97932,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H7O8S,-,226.98671,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,227.05910,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C14H27O2,-,227.20165,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H3INO3,-,227.91631,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H7INO2,-,227.95270,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H4N2O8S,-,227.96938,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H11INO,-,227.98909,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C8H6NO7,-,228.01498,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H10NO9,-,228.03610,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H12N2O8,-,228.05991,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H2IO4,-,228.90033,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H6IO3,-,228.93672,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H10IO2,-,228.97310,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H14IO,-,229.00949,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,229.07020,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H5INO3,-,229.93196,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H9INO2,-,229.96835,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H11IO2,-,229.98093,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C14H14O3,-,230.09484,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C12H22O4,-,230.15236,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,230.89100,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H4IO4,-,230.91598,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H8IO3,-,230.95237,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C5H12IO2,-,230.98875,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C10H15O6,-,231.08741,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H3INO4,-,231.91123,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H7INO3,-,231.94761,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H6NO9S,-,231.97688,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,232.06870,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,232.11250,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,232.17030,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C16H26N,-,232.20707,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H2IO5,-,232.89524,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C3H6IO4,-,232.93163,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H6IO,-,232.94689,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C6H6IN2,-,232.95812,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C4H10IO3,-,232.96802,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,233.10390,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C14H17O3,-,233.11832,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C15H21O2,-,233.15470,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C16H25O,-,233.19109,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
CHINO5,-,233.89049,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C2H5INO4,-,233.92688,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
,,233.99100,unassigned,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C7H8NO8,-,234.02554,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C8H12NO7,-,234.06193,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C9H16NO6,-,234.09831,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C10H20NO5,-,234.13470,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
C11H24NO4,-,234.17108,organic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
IN2O5,-,234.88574,inorganic,I-,particle,FIGAERO-LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Daellenbach et al., 2024, Nat. Geosci.",peakList_figaero_check_particle_winter_summer_v7.db
