ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
C10H17NO10,-,311.08579,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14NO11,-,312.05723,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H18NO10,-,312.09362,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H9N2O12,-,313.01610,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15NO11,-,313.06506,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H8NO13,-,314.00011,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H12NO12,-,314.03650,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H16NO11,-,314.07288,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C6H7N2O13,-,314.99536,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H13NO12,-,315.04432,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H10NO13,-,316.01576,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H14NO12,-,316.05215,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15N2O10,-,323.07322,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO11,-,324.05723,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H13N2O11,-,325.05248,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO11,-,325.06506,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H12NO12,-,326.03650,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO11,-,326.07288,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14NO12,-,328.05215,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H18NO11,-,328.08853,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H9N2O13,-,329.01101,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15NO12,-,329.05997,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C6H8N3O13,-,330.00626,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H16NO12,-,330.06780,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15N2O11,-,339.06813,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO12,-,340.05215,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H18N3O10,-,340.09977,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO12,-,341.05997,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H12NO13,-,342.03141,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO12,-,342.06780,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H13NO13,-,343.03924,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H10N3O13,-,344.02191,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14NO13,-,344.04706,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H9N2O14,-,345.00593,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15NO13,-,345.05489,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H16NO13,-,346.06271,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16N3O11,-,354.07903,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15N2O12,-,355.06305,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO13,-,356.04706,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14N3O12,-,356.05830,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
